"公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives","公共基础课程Public Basic Courses共 33 学分，其中必修 31 学分，限修 2 学分，选修 0 学分A total credits of 33，including 31 for compulsory courses，2 for distributional electives and 0 for free electives"
"专业课程（含实验）Specialized Courses (Including Experiments)共 42 学分，其中必修 32 学分，限修 10 学分，选修 0 学分A total credits of  42，including 32 for compulsory courses，10 for distributional electives and 0 for free electives","专业课程（含实验）Specialized Courses (Including Experiments)共 42 学分，其中必修 32 学分，限修 10 学分，选修 0 学分A total credits of  42，including 32 for compulsory courses，10 for distributional electives and 0 for free electives","专业课程（含实验）Specialized Courses (Including Experiments)共 42 学分，其中必修 32 学分，限修 10 学分，选修 0 学分A total credits of  42，including 32 for compulsory courses，10 for distributional electives and 0 for free electives","专业课程（含实验）Specialized Courses (Including Experiments)共 42 学分，其中必修 32 学分，限修 10 学分，选修 0 学分A total credits of  42，including 32 for compulsory courses，10 for distributional electives and 0 for free electives","专业课程（含实验）Specialized Courses (Including Experiments)共 42 学分，其中必修 32 学分，限修 10 学分，选修 0 学分A total credits of  42，including 32 for compulsory courses，10 for distributional electives and 0 for free electives","专业课程（含实验）Specialized Courses (Including Experiments)共 42 学分，其中必修 32 学分，限修 10 学分，选修 0 学分A total credits of  42，including 32 for compulsory courses，10 for distributional electives and 0 for free electives","专业课程（含实验）Specialized Courses (Including Experiments)共 42 学分，其中必修 32 学分，限修 10 学分，选修 0 学分A total credits of  42，including 32 for compulsory courses，10 for distributional electives and 0 for free electives","专业课程（含实验）Specialized Courses (Including Experiments)共 42 学分，其中必修 32 学分，限修 10 学分，选修 0 学分A total credits of  42，including 32 for compulsory courses，10 for distributional electives and 0 for free electives","专业课程（含实验）Specialized Courses (Including Experiments)共 42 学分，其中必修 32 学分，限修 10 学分，选修 0 学分A total credits of  42，including 32 for compulsory courses，10 for distributional electives and 0 for free electives"
"课程类型Course Type","课程名称Course Name","课程性质Nature ofCourse","总学分Credits","课内实践学分 In-classpractice credits","开课学期Semester","开课学院School","支撑毕业要求指标点 Indicatorswhich Support GraduationRequirements","备注Notes"
"专业核心课程Specialized CoreCourse","数据库原理与设计Principle and design ofdatabase","必修Compulsory","3","null","第 4 学期4ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","1.3，2.2，2.4","null"
"专业核心课程Specialized CoreCourse","数据库原理与设计实验Experiments forPrinciple and design of database","必修Compulsory","1","1","第 4 学期4ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","1.4，3.3，5.1","null"
"专业核心课程Specialized CoreCourse","算法分析与设计 B Analysis and design ofalgorithms B","必修Compulsory","2","null","第 4 学期4ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","2.1，3.1","null"
"专业核心课程Specialized CoreCourse","算法分析与设计实验Experiments for analysisand design of algorithms","必修Compulsory","1","1","第 4 学期4ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","4.3","null"
"专业核心课程Specialized CoreCourse","微机与接口技术 A Microcomputer andinterface technology A","必修Compulsory","4","null","第 5 学期5ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","1.3，2.2，3.2，10.2","null"
"专业核心课程Specialized CoreCourse","微机与接口技术实验Experiments formicrocomputer and interface technology","必修Compulsory","1","1","第 5 学期5ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","2.4，3.2，5.2","null"
"专业核心课程Specialized CoreCourse","计算机网络Computer Networks","必修Compulsory","3","null","第 5 学期5ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","1.3，2.2，2.3","null"
"专业核心课程Specialized CoreCourse","计算机网络工程实验Experiments forComputer Network Engineering","必修Compulsory","1","1","第 5 学期5ThSemester","计算机与人工智能学院 School ofComputing and ArtificialIntelligence","2.4，3.4，10.2","null"
